54412	40.73	116.63	332.6	32	汤河口	北京	北京	北京
54416	40.38	116.87	73		32	密云	北京	北京	北京
54419	40.37	116.63	76.8	32	怀柔	北京	北京	北京
54421	40.65	117.12	294.3	32	密云上甸子	北京	北京	北京
54424	40.17	117.12	33.3	32	平谷	北京	北京	北京
54431	39.92	116.63	44.5	32	通州	北京	北京	北京
54433	39.95	116.50	36.3	32	朝阳	北京	北京	北京
54499	40.22	116.22	77.4	32	昌平	北京	北京	北京
54501	39.97	115.68	441.3	32	斋堂	北京	北京	北京
54505	39.92	116.12	93.8	32	门头沟	北京	北京	北京
54511	39.80	116.47	32.5	1	北京	北京	北京	北京
54513	39.95	116.20	66.8	32	石景山	北京	北京	北京
54514	39.87	116.25	56.7	32	丰台	北京	北京	北京
54594	39.72	116.35	38.8	32	大兴	北京	北京	北京
54596	39.68	116.13	40.2	32	房山	北京	北京	北京
54597	39.73	115.73	408.7	32	霞云岭	北京	北京	北京
58725	27.33	117.47	218.9	2	邵武	福建	福建	福建
58754	27.33	120.20	37		4	福鼎	福建	福建	福建
58834	26.63	118.17	153.2	4	南平	福建	福建	福建
58737	27.05	118.32	155.7	16	建瓯	福建	福建	福建
58820	26.90	117.17	344.1	16	泰宁	福建	福建	福建
58846	26.67	119.52	33.2	16	宁德	福建	福建	福建
58847	26.08	119.28	84.8	2	福州	福建	福建	福建
58731	27.92	118.53	277.9	4	浦城	福建	福建	福建
58724	27.52	117.30	266.6	32	光泽	福建	福建	福建
58735	27.52	118.80	206.6	32	松溪	福建	福建	福建
58736	27.37	118.82	222.7	32	政和	福建	福建	福建
58747	27.15	119.35	900.3	32	周宁	福建	福建	福建
58748	27.10	119.65	51.5	32	福安	福建	福建	福建
58749	27.23	119.88	685.1	32	柘荣	福建	福建	福建
58819	26.17	116.80	329.7	32	清流	福建	福建	福建
58822	26.83	116.85	343.5	32	建宁	福建	福建	福建
58823	26.80	117.80	176.4	32	顺昌	福建	福建	福建
58824	26.40	117.15	358.4	32	明溪	福建	福建	福建
